"","Coef25","sig25","rn","Coef50","sig50","Coef75","sig75"
"(Intercept)",-0.0158239386032211,"","(Intercept)",0.780130230280214,"**",1.63872458560108,"***"
"f_ccity9000b",0.149823027530966,"***","f_ccity9000b",0.0745205527887966,"",0.00543206134267226,""
"f_ccity0010b",0.0887064838060213,"","f_ccity0010b",0.208671908328238,"***",0.204952645479496,"***"
"f_pden9000b",0.214174794959554,"**","f_pden9000b",0.221948950068974,"*",0.11169595242521,""
"f_pden0010b",-0.688001179275139,"***","f_pden0010b",-0.792384359179864,"***",-0.863410548415151,"***"
"f_pt9000b",1.6489765608582,"","f_pt9000b",2.95500062892186,"**",4.05274169748086,"***"
"f_pt0010b",-7.0041720190685,"***","f_pt0010b",-7.62749825191842,"***",-7.88778718929933,"***"
"lncden9000b",0.0566748281635785,"*","lncden9000b",0.0696369684324703,"**",0.0842714011201125,"**"
"lncden0010b",0.0522130325089661,"*","lncden0010b",0.0263234307364635,"",0.0475636812077605,""
"lnpop100",-0.0680875323993605,"***","lnpop100",-0.00426848490482183,"",0.0370199408575074,""
"pctyoungbg",0.0311443952502112,"","pctyoungbg",0.06930225896868,"***",0.173892545929163,"***"
"pctnhw",0.331548896981233,"***","pctnhw",0.351344166842867,"***",0.372144289904648,"***"
"pctforeign",-0.0406435093364171,"*","pctforeign",-0.0386857566800406,"*",-0.0298982503614925,""
"pctmulti",-0.140410510369231,"***","pctmulti",-0.0987531453047399,"***",-0.0290768285095469,""
"yr0010",-2.55159864653468,"***","yr0010",-3.12630057660472,"***",-3.62679039370208,"***"
"WY",-0.0708067557439593,"","WY",-0.0409888377146982,"",-0.0639101597595825,""
