"","Coef25","sig25","rn","Coef50","sig50","Coef75","sig75"
"(Intercept)",-0.234434349386176,"***","(Intercept)",-0.0410778943438319,"**",0.245312806435786,"***"
"f_ccity9000b",-0.0763188327172326,"**","f_ccity9000b",-0.0499392984908099,"",-0.0574909066757945,""
"f_ccity0010b",-0.178621052416338,"***","f_ccity0010b",-0.157247806383832,"***",-0.129947469800136,"***"
"f_pden9000b",-0.0580172866252714,"***","f_pden9000b",-0.142743435593167,"***",-0.278268870102819,"***"
"f_pden0010b",0.0733752523110031,"***","f_pden0010b",0.0161453743964209,"",-0.0586456248146972,"**"
"f_pt9000b",0.0446222263966889,"","f_pt9000b",0.0315994359560465,"",0.0147388808537708,""
"f_pt0010b",0.10110043591936,"**","f_pt0010b",0.112720207813332,"***",0.211306856922798,"***"
"lncden9000b",0.0082417587193989,"","lncden9000b",0.0240187314878847,"",0.0652772385410539,"***"
"lncden0010b",-0.0107783785615852,"","lncden0010b",0.0367493726116385,"",0.0388288306814631,""
"lnpop100",-0.0309151367645448,"**","lnpop100",0.0143900045553925,"",0.0252989047267017,""
"pctyoungbg",0.0931759539128311,"***","pctyoungbg",0.20258908755976,"***",0.340054919219019,"***"
"pctnhw",0.00743206478784873,"","pctnhw",0.0283036899633353,"**",0.0532434789931545,"***"
"pctforeign",0.048694950130571,"***","pctforeign",0.0262897045932722,"**",0.0314627333662126,"*"
"pctmulti",-0.0572135100056871,"***","pctmulti",-0.0482450709644986,"**",-0.0417869620458605,"**"
"yr0010",-0.0523858895193251,"**","yr0010",-0.012131514706348,"",-0.0408829796871574,""
"WY",0.0450073029789267,"","WY",0.0491273601069513,"",0.0138518823952282,""
